"Month";"car_manufacturer_name";"car_modification";"year_start";"year_end";"parts_on_sale";"newly_listed_parts";"sold_in_30_days";"sold_in_60_days";"sold_parts";"unique_monthly_cookies"
2021-05-01;"car_manufacturer_1";"car_modification_1";"1965";"1974";0;0;0;0;0;6
2021-06-01;"car_manufacturer_1";"car_modification_1";"1965";"1974";0;0;0;0;0;5
2021-07-01;"car_manufacturer_1";"car_modification_1";"1965";"1974";0;0;0;0;0;10
2021-08-01;"car_manufacturer_1";"car_modification_1";"1965";"1974";0;0;0;0;0;5
2021-09-01;"car_manufacturer_1";"car_modification_1";"1965";"1974";0;0;0;0;0;18
2021-10-01;"car_manufacturer_1";"car_modification_1";"1965";"1974";1;1;0;0;0;21
2021-11-01;"car_manufacturer_1";"car_modification_1";"1965";"1974";2;1;0;0;0;15
2021-12-01;"car_manufacturer_1";"car_modification_1";"1965";"1974";8;6;0;0;0;5
2022-01-01;"car_manufacturer_1";"car_modification_1";"1965";"1974";12;6;0;0;0;23
2022-02-01;"car_manufacturer_1";"car_modification_1";"1965";"1974";13;2;0;0;0;8
2021-05-01;"car_manufacturer_1";"car_modification_2";"1995";"1998";0;0;0;0;0;0
2021-06-01;"car_manufacturer_1";"car_modification_2";"1995";"1998";0;0;0;0;0;4
2021-07-01;"car_manufacturer_1";"car_modification_2";"1995";"1998";0;0;0;0;0;6
2021-08-01;"car_manufacturer_1";"car_modification_2";"1995";"1998";0;0;0;0;0;5
2021-09-01;"car_manufacturer_1";"car_modification_2";"1995";"1998";0;0;0;0;0;13
2021-10-01;"car_manufacturer_1";"car_modification_2";"1995";"1998";1;1;0;0;0;12
2021-11-01;"car_manufacturer_1";"car_modification_2";"1995";"1998";3;2;0;0;0;3
2021-12-01;"car_manufacturer_1";"car_modification_2";"1995";"1998";3;0;0;0;0;0
2022-01-01;"car_manufacturer_1";"car_modification_2";"1995";"1998";0;0;0;0;0;8
2022-02-01;"car_manufacturer_1";"car_modification_2";"1995";"1998";0;0;0;0;0;2
2021-05-01;"car_manufacturer_1";"car_modification_3";"1998";"2015";0;0;0;0;0;2
2021-06-01;"car_manufacturer_1";"car_modification_3";"1998";"2015";0;0;0;0;0;2
2021-07-01;"car_manufacturer_1";"car_modification_3";"1998";"2015";0;0;0;0;0;2
2021-08-01;"car_manufacturer_1";"car_modification_3";"1998";"2015";0;0;0;0;0;8
2021-09-01;"car_manufacturer_1";"car_modification_3";"1998";"2015";0;0;0;0;0;11
2021-10-01;"car_manufacturer_1";"car_modification_3";"1998";"2015";0;0;0;0;0;11
2021-11-01;"car_manufacturer_1";"car_modification_3";"1998";"2015";10;10;0;0;0;2
2021-12-01;"car_manufacturer_1";"car_modification_3";"1998";"2015";14;4;0;0;0;0
2022-01-01;"car_manufacturer_1";"car_modification_3";"1998";"2015";1;0;0;0;0;3
2022-02-01;"car_manufacturer_1";"car_modification_3";"1998";"2015";0;0;0;0;0;1
2021-05-01;"car_manufacturer_1";"car_modification_4";"1990";"1997";0;0;0;0;0;1
2021-06-01;"car_manufacturer_1";"car_modification_4";"1990";"1997";0;0;0;0;0;2
